key;title
IL;Illinois
DC;District of Columbia
DE;Delaware
WV;West Virginia
MD;Maryland
CO;Colorado
KY;Kentucky
KS;Kansas
VA;Virginia
MO;Missouri
AZ;Arizona
OK;Oklahoma
NC;North Carolina
TN;Tennessee
TX;Texas
NM;New Mexico
AL;Alabama
MS;Mississippi
GA;Georgia
SC;South Carolina
AR;Arkansas
LA;Louisiana
FL;Florida
MI;Michigan
MT;Montana
ME;Maine
ND;North Dakota
SD;South Dakota
WY;Wyoming
WI;Wisconsin
ID;Idaho
VT;Vermont
MN;Minnesota
OR;Oregon
NH;New Hampshire
IA;Iowa
MA;Massachusetts
NE;Nebraska
NY;New York
PA;Pennsylvania
CT;Connecticut
RI;Rhode Island
NJ;New Jersey
IN;Indiana
NV;Nevada
UT;Utah
CA;California
OH;Ohio
WA;Washington
